framework,resource,adminPolicy,operatorPolicy,viewerPolicy
mc-iam-manager,Authgetuservalidate,true,,
mc-iam-manager,Createpermission,true,,
mc-iam-manager,Createproject,true,,
mc-iam-manager,Createresource,true,,
mc-iam-manager,Createresourcesbyswagger,true,,
mc-iam-manager,Createrole,true,,
mc-iam-manager,Createuser,true,,
mc-iam-manager,Createwebmenubyyaml,true,,
mc-iam-manager,Createworkspace,true,,
mc-iam-manager,Createworkspaceuserrolemappingbyname,true,,
mc-iam-manager,Createwpmapping,true,true,
mc-iam-manager,DeactivateuserNotuse,true,,
mc-iam-manager,Deletepermission,true,,
mc-iam-manager,Deleteprojectbyid,true,,
mc-iam-manager,Deleteresource,true,,
mc-iam-manager,Deleterolebyid,true,,
mc-iam-manager,Deleteuser,true,,
mc-iam-manager,Deleteworkspacebyid,true,,
mc-iam-manager,Deleteworkspaceprojectmappingbyid,true,,
mc-iam-manager,Deleteworkspaceuserrolemapping,true,,
mc-iam-manager,Getallavailablemenus,true,,
mc-iam-manager,Getallpermissions,true,,
mc-iam-manager,Getcerts,true,,
mc-iam-manager,Getmenuresources,true,,
mc-iam-manager,Getpermission,true,,
mc-iam-manager,Getpermissions,true,,
mc-iam-manager,Getpermissionticketbyoperationid,true,,
mc-iam-manager,Getprojectbyid,true,,
mc-iam-manager,Getprojectlist,true,,
mc-iam-manager,Getresources,true,,
mc-iam-manager,Getrolebyid,true,,
mc-iam-manager,GetrolebypolicyidNotuse,true,,
mc-iam-manager,Getrolelist,true,,
mc-iam-manager,Gettokeninfo,true,,
mc-iam-manager,Getuserinfo,true,,
mc-iam-manager,Getusers,true,,
mc-iam-manager,Getworkspacebyid,true,,
mc-iam-manager,Getworkspacelist,true,,
mc-iam-manager,Getworkspaceuserrolemappingbyid,true,,
mc-iam-manager,Getworkspaceuserrolemappinglistbyuserid,true,,
mc-iam-manager,Getworkspaceuserrolemappinglistbyworkspaceid,true,,
mc-iam-manager,Getworkspaceuserrolemappinglistorderbyworkspace,true,,
mc-iam-manager,Getwpmappinglistbyworkspaceid,true,,
mc-iam-manager,Getwpmappinglistorderbyworkspace,true,,
mc-iam-manager,Login,true,,
mc-iam-manager,Loginrefresh,true,,
mc-iam-manager,Logout,true,,
mc-iam-manager,Readyz,true,,
mc-iam-manager,ResetresourceNotuse,true,,
mc-iam-manager,Searchprojectsbyname,true,,
mc-iam-manager,Searchrolesbyname,true,,
mc-iam-manager,Searchworkspacesbyname,true,,
mc-iam-manager,Securitykey,true,,
mc-iam-manager,Syncprojectlistwithmcinfra,true,,
mc-iam-manager,Updatepermission,true,,
mc-iam-manager,Updateprojectbyid,true,,
mc-iam-manager,Updateresource,true,,
mc-iam-manager,Updaterolebyid,true,,
mc-iam-manager,UpdateuseinfoNotuse,true,,
mc-iam-manager,Updateuser,true,,
mc-iam-manager,Updateworkspacebyid,true,,
mc-iam-manager,Updatewpmappings,true,,
mc-infra-manager,AddNLBVMs,true,,
mc-infra-manager,CheckHTTPVersion,true,,
mc-infra-manager,CheckNodeGroupsOnK8sCreation,true,,
mc-infra-manager,CheckResource,true,,
mc-infra-manager,DelAllCustomImage,true,,
mc-infra-manager,DelAllDataDisk,true,,
mc-infra-manager,DelAllImage,true,,
mc-infra-manager,DelAllMci,true,,
mc-infra-manager,DelAllMciPolicy,true,,
mc-infra-manager,DelAllNLB,true,,
mc-infra-manager,DelAllNs,true,,
mc-infra-manager,DelAllSecurityGroup,true,,
mc-infra-manager,DelAllSharedResources,true,,
mc-infra-manager,DelAllSshKey,true,,
mc-infra-manager,DelAllVNet,true,,
mc-infra-manager,DelCustomImage,true,,
mc-infra-manager,DelDataDisk,true,,
mc-infra-manager,DelFirewallRules,true,,
mc-infra-manager,DelImage,true,,
mc-infra-manager,DelMci,true,,
mc-infra-manager,DelMciPolicy,true,,
mc-infra-manager,DelMciVm,true,,
mc-infra-manager,DelNLB,true,,
mc-infra-manager,DelNs,true,,
mc-infra-manager,DelSecurityGroup,true,,
mc-infra-manager,DelSpec,true,,
mc-infra-manager,DelSshKey,true,,
mc-infra-manager,DelSubnet,true,,
mc-infra-manager,DelVNet,true,,
mc-infra-manager,DeleteAllK8sCluster,true,,
mc-infra-manager,DeleteAllRequests,true,,
mc-infra-manager,DeleteK8sCluster,true,,
mc-infra-manager,DeleteK8sNodeGroup,true,,
mc-infra-manager,DeleteObject,true,,
mc-infra-manager,DeleteObjects,true,,
mc-infra-manager,DeleteRequest,true,,
mc-infra-manager,DeleteSiteToSiteVpn,true,,
mc-infra-manager,FetchImages,true,,
mc-infra-manager,FetchSpecs,true,,
mc-infra-manager,FilterSpecsByRange,true,,
mc-infra-manager,ForwardAnyReqToAny,true,,
mc-infra-manager,GetAllBenchmark,true,,
mc-infra-manager,GetAllConfig,true,,
mc-infra-manager,GetAllCustomImage,true,,
mc-infra-manager,GetAllDataDisk,true,,
mc-infra-manager,GetAllImage,true,,
mc-infra-manager,GetAllK8sCluster,true,,
mc-infra-manager,GetAllMci,true,,
mc-infra-manager,GetAllMciPolicy,true,,
